Date,Open,High,Low,Close,Volume
2024-11-14,180.07,184.025,176.03,177.35,57284923
2024-11-08,171.24,182.58,169.485,179.86,87525742
2024-11-01,170.59,183.79,165.79,172.65,154027430
2024-10-25,164.58,167.6,162.77,166.99,63427787
2024-10-18,164.91,169.09,164.37,165.05,62984200
2024-10-11,169.14,169.9,161.12,164.52,69271481
2024-10-04,164.78,170.44,164.64,168.56,67897583
2024-09-27,165.34,166.97,162.03,165.29,79869152
2024-09-20,158.33,164.99,157.61,164.64,106889717
2024-09-13,153.63,159.275,148.2,158.37,105208976
2024-09-06,163.315,163.38,151.935,152.13,81614670
2024-08-30,168.155,169.38,161.982,165.11,76549810
2024-08-23,167.0,170.41,165.03,167.43,74398234
2024-08-16,165.995,166.95,159.53,164.74,82914081
2024-08-09,157.37,165.94,156.6,165.39,119671444
2024-08-02,170.5,175.91,166.39,168.4,79186109
2024-07-26,182.35,185.22,165.865,168.68,125445177
2024-07-19,186.49,190.34,178.21,179.39,74685776
2024-07-12,191.365,193.31,186.14,186.78,65276536
2024-07-05,184.48,192.26,182.73,191.96,46083874
2024-06-28,181.28,187.5,180.23,183.42,86549749
2024-06-21,176.98,182.5117,175.62,180.26,107394306
2024-06-14,176.45,182.08,174.38,178.37,78443581
2024-06-07,173.88,179.42,172.45,175.95,79015349
2024-05-31,175.74,178.51,170.97,173.96,77608374
2024-05-24,177.31,179.95,174.54,176.33,74722470
2024-05-17,165.847,177.495,165.76,177.29,93129957
2024-05-10,169.22,173.47,167.89,170.29,81498360
2024-05-03,170.77,171.38,164.5,168.99,130366736
2024-04-26,156.01,176.42,152.768,173.69,145543548
2024-04-19,160.28,160.83,153.91,155.72,88287847
2024-04-12,154.015,161.7,153.99,159.19,88886712
2024-04-05,151.83,157.0,151.081,153.94,99063191
2024-03-28,150.95,153.2,148.8,152.26,72155014
2024-03-22,149.37,152.93,147.01,151.77,122251892
2024-03-15,137.07,144.73,137.07,142.17,138034249
2024-03-08,136.54,138.985,131.55,136.29,145796702
2024-03-01,143.45,143.84,136.64,138.08,150542225
2024-02-23,140.94,146.2,140.8,145.29,72669314
2024-02-16,149.54,150.59,141.52,141.76,100615837
2024-02-09,144.04,150.695,143.91,150.22,112327237
2024-02-02,153.64,155.2,138.17,143.54,159059758
2024-01-26,148.71,154.76,147.19,153.79,95825230
2024-01-19,143.43,148.04,140.51,147.97,83141319
2024-01-12,138.0,146.66,137.88,144.24,85336700
2024-01-05,139.6,141.09,136.85,137.39,72439660
2023-12-29,142.98,143.945,139.9,140.93,55504881
2023-12-22,133.86,143.25,133.77,142.72,116423741
2023-12-15,133.82,135.035,131.06,133.84,164714404
2023-12-08,131.294,140.0,129.4,136.64,121053433
2023-12-01,137.57,139.67,132.1517,133.32,110129490
2023-11-24,135.5,141.1,135.49,138.22,63375922
2023-11-17,133.36,138.8799,132.77,136.94,97773343
2023-11-10,130.22,134.27,129.93,134.06,88534117
2023-11-03,124.46,130.73,123.88,130.37,115446773
2023-10-27,136.23,140.7099,121.46,123.4,177386966
2023-10-20,139.73,141.99,136.245,136.74,99875893
2023-10-13,137.99,142.38,136.7,138.58,93921028
2023-10-06,132.155,139.1857,132.065,138.73,98436744
2023-09-29,130.77,134.89,128.19,131.85,95231747
2023-09-22,137.63,139.93,130.51,131.25,92605426
2023-09-15,137.38,139.55,134.93,138.3,116812048
2023-09-08,136.44,137.515,133.9601,137.2,68340506
2023-09-01,132.08,138.58,130.85,136.8,114111585
2023-08-25,127.85,134.97,127.16,130.69,103275947
2023-08-18,129.85,132.4913,127.0,128.11,97136487
2023-08-11,129.51,132.647,128.75,130.17,85263357
2023-08-04,133.01,133.83,127.775,128.54,98914665
2023-07-28,121.926,134.07,121.38,133.01,163252584
2023-07-21,126.06,127.28,118.685,120.31,148116704
2023-07-14,119.07,127.09,115.83,125.7,125341893
2023-07-07,120.32,123.37,119.2499,120.14,70466455
2023-06-30,121.4656,122.72,116.91,120.97,112549042
2023-06-23,123.535,125.175,119.6,123.02,95665041
2023-06-16,123.395,126.7,122.16,124.06,147453173
2023-06-09,124.61,129.55,122.01,122.87,121430664
2023-06-02,126.29,126.745,122.89,125.23,113094630
2023-05-26,123.51,127.05,120.75,125.43,136307872
2023-05-19,116.49,126.479,116.48,123.25,138420874
